latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.7639,-122.749,304.4,1.7,1.3,2017-03-16,2055,Aqua,MODIS,52,6.03,280.5,11.7,D,0
38.8099,-122.6831,319.3,1.1,1,2017-04-01,1915,Terra,MODIS,77,6.03,293.8,14.7,D,0
38.807,-122.6928,310.4,1.7,1.3,2017-04-01,2055,Aqua,MODIS,46,6.03,295.9,11.7,D,0
38.8172,-122.6872,304.9,3.3,1.7,2017-04-27,1952,Terra,MODIS,47,6.03,291,28.1,D,0
38.815,-122.6838,323,1.1,1.1,2017-04-27,2131,Aqua,MODIS,81,6.03,299.4,18.4,D,0
38.5637,-122.5305,328.4,1,1,2017-06-13,1909,Terra,MODIS,73,6.03,305.7,20.2,D,0
38.5619,-122.5191,337.2,1,1,2017-06-13,1909,Terra,MODIS,87,6.03,307,31.5,D,0
38.5601,-122.5257,321.2,2.1,1.4,2017-06-13,2048,Aqua,MODIS,74,6.03,302.2,39.7,D,0
38.4885,-122.4464,323.9,1.4,1.2,2017-06-27,2100,Aqua,MODIS,45,6.03,310.2,15.4,D,2
38.5844,-122.524,312.3,1.9,1.3,2017-09-01,0944,Aqua,MODIS,65,6.03,294.3,24.3,N,0
38.5808,-122.5352,325.1,1,1,2017-09-01,1909,Terra,MODIS,33,6.03,313.7,7.3,D,0
38.5898,-122.5331,328.3,1,1,2017-09-01,1909,Terra,MODIS,60,6.03,313.3,12.2,D,0
38.5873,-122.6549,413.2,1.3,1.1,2017-10-09,0632,Terra,MODIS,100,6.03,302.7,522.2,N,0
38.5888,-122.6398,448.2,1.3,1.1,2017-10-09,0632,Terra,MODIS,100,6.03,318.8,1059.3,N,0
38.5905,-122.6237,419.1,1.3,1.2,2017-10-09,0632,Terra,MODIS,100,6.03,312.7,598.4,N,0
38.4277,-122.537,313.4,1.4,1.2,2017-10-09,0632,Terra,MODIS,87,6.03,292.2,19,N,0
38.5921,-122.6079,306.1,1.4,1.2,2017-10-09,0632,Terra,MODIS,43,6.03,291.8,7.5,N,0
38.4246,-122.5669,314,1.4,1.2,2017-10-09,0632,Terra,MODIS,88,6.03,291.1,19.2,N,2
38.4365,-122.5538,303.1,1.4,1.2,2017-10-09,0632,Terra,MODIS,53,6.03,291.8,8.5,N,0
38.5481,-122.658,309.2,1.3,1.1,2017-10-09,0632,Terra,MODIS,75,6.03,291,11,N,0
38.5449,-122.6877,330,1.3,1.1,2017-10-09,0632,Terra,MODIS,100,6.03,291.8,40.5,N,0
38.5465,-122.6729,336.4,1.3,1.1,2017-10-09,0632,Terra,MODIS,100,6.03,292.1,54.5,N,0
38.596,-122.6718,306,1.3,1.1,2017-10-09,0632,Terra,MODIS,66,6.03,291.2,7.7,N,0
38.5992,-122.6413,332.7,1.3,1.1,2017-10-09,0632,Terra,MODIS,100,6.03,293.3,46.1,N,0
38.5738,-122.6844,321.4,1.3,1.1,2017-10-09,0632,Terra,MODIS,69,6.03,291.7,24.7,N,0
38.392,-122.5082,317.2,1.4,1.2,2017-10-09,0632,Terra,MODIS,95,6.03,292.9,24.2,N,0
38.5773,-122.6779,327.3,1.3,1.1,2017-10-09,0632,Terra,MODIS,93,6.03,292.4,34.8,N,0
38.579,-122.6623,448.8,1.3,1.1,2017-10-09,0632,Terra,MODIS,100,6.03,312.1,1065.9,N,0
