id,datetime_utc,n,year,day_of_year,hour,temp_c,precipitation_m,solar_radiation_w_per_m2,wind_speed_m_per_s,vpd_kPa,ten_hr_dead_fuel_moisture_pct,naf,Event,weather_file,idx
64121,2015-08-03T01:00:00Z,0,2015,215,1,28.65,1.7347e-18,595.72,2.1364,2.9234,4.7766,8787,"Rough Fire, California",data/wx64121.csv,1
64121,2015-08-03T02:00:00Z,0,2015,215,2,28.207,1.7347e-18,429.21,2.1082,2.8314,6.5899,8787,"Rough Fire, California",data/wx64121.csv,1
64121,2015-08-03T03:00:00Z,0,2015,215,3,27.31,1.7347e-18,242.59,1.8745,2.6207,6.9917,8787,"Rough Fire, California",data/wx64121.csv,1
64121,2015-08-03T04:00:00Z,0,2015,215,4,22.238,1.7347e-18,58.859,1.1742,1.2019,12.64,8787,"Rough Fire, California",data/wx64121.csv,1
64121,2015-08-03T05:00:00Z,0,2015,215,5,21.712,1.7347e-18,6.4675e-14,1.0724,1.225,12.383,8787,"Rough Fire, California",data/wx64121.csv,1
64121,2015-08-03T06:00:00Z,0,2015,215,6,21.079,1.7347e-18,6.4675e-14,1.017,1.1981,12.333,8787,"Rough Fire, California",data/wx64121.csv,1
64121,2015-08-03T07:00:00Z,0,2015,215,7,20.034,1.7347e-18,6.4675e-14,1.2176,1.2247,11.291,8787,"Rough Fire, California",data/wx64121.csv,1
64121,2015-08-03T08:00:00Z,0,2015,215,8,18.649,1.7347e-18,6.4675e-14,1.0887,1.034,12.42,8787,"Rough Fire, California",data/wx64121.csv,1
64121,2015-08-03T09:00:00Z,0,2015,215,9,18.199,1.7347e-18,6.4675e-14,1.2032,0.96219,12.658,8787,"Rough Fire, California",data/wx64121.csv,1
64121,2015-08-03T10:00:00Z,0,2015,215,10,17.098,1.7347e-18,6.4675e-14,1.1596,0.75865,13.933,8787,"Rough Fire, California",data/wx64121.csv,1
64121,2015-08-03T11:00:00Z,0,2015,215,11,14.856,1.7347e-18,6.4675e-14,0.85586,0.66183,13.985,8787,"Rough Fire, California",data/wx64121.csv,1
64121,2015-08-03T12:00:00Z,0,2015,215,12,14.294,1.7347e-18,6.4675e-14,0.9748,0.65641,13.774,8787,"Rough Fire, California",data/wx64121.csv,1
64121,2015-08-03T13:00:00Z,0,2015,215,13,14.345,1.7347e-18,6.4675e-14,0.91082,0.68196,13.493,8787,"Rough Fire, California",data/wx64121.csv,1
