latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-37.495,147.8988,328.6,1.8,1.3,2019-12-27,0038,Terra,MODIS,82,6.03,296.5,51.6,D,0
-37.5818,147.9873,338.4,1.8,1.3,2019-12-27,0038,Terra,MODIS,75,6.03,299.9,75.1,D,0
-37.568,147.9685,336.1,1.8,1.3,2019-12-27,0038,Terra,MODIS,61,6.03,299.6,64.1,D,0
-37.5537,147.6854,334.4,1.7,1.3,2019-12-27,0038,Terra,MODIS,19,6.03,296.5,51.3,D,0
-37.5446,147.5888,337.4,1.7,1.3,2019-12-27,0038,Terra,MODIS,67,6.03,296,71,D,0
-37.5176,147.5518,320.4,1.7,1.3,2019-12-27,0038,Terra,MODIS,62,6.03,295.4,31.7,D,0
-37.5305,147.952,339.4,1.8,1.3,2019-12-27,0038,Terra,MODIS,79,6.03,297.7,79.6,D,0
-37.5323,147.9726,349.1,1.8,1.3,2019-12-27,0038,Terra,MODIS,95,6.03,300,123.6,D,0
-37.5442,147.9715,344.9,1.8,1.3,2019-12-27,0038,Terra,MODIS,89,6.03,298.9,100.5,D,0
-37.5246,147.958,338,1.8,1.3,2019-12-27,0038,Terra,MODIS,87,6.03,298.9,78,D,0
-37.5225,147.9368,337.3,1.8,1.3,2019-12-27,0038,Terra,MODIS,89,6.03,297.3,75.2,D,0
-37.2339,148.4136,311.4,1.9,1.3,2019-12-27,0038,Terra,MODIS,44,6.03,298.9,13.1,D,0
-37.4967,147.9177,315.9,1.8,1.3,2019-12-27,0038,Terra,MODIS,35,6.03,295.3,22.1,D,0
-37.205,148.5488,311.6,1.9,1.3,2019-12-27,0038,Terra,MODIS,52,6.03,296.4,20.6,D,0
-37.2079,148.5426,311.9,1.9,1.3,2019-12-27,0038,Terra,MODIS,57,6.03,295.6,21.4,D,0
-37.6128,147.9967,326.3,1.8,1.3,2019-12-27,0038,Terra,MODIS,80,6.03,300.6,39.9,D,0
-37.5991,147.9786,351.5,1.8,1.3,2019-12-27,0038,Terra,MODIS,96,6.03,300.3,133.2,D,0
-37.6175,147.9824,328.8,1.8,1.3,2019-12-27,0038,Terra,MODIS,76,6.03,299.6,45.1,D,0
-37.6056,147.984,356.8,1.8,1.3,2019-12-27,0038,Terra,MODIS,98,6.03,300.9,162.2,D,0
-37.5937,147.9858,343.1,1.8,1.3,2019-12-27,0038,Terra,MODIS,92,6.03,300.1,94.4,D,0
-37.5692,147.724,332.3,1.7,1.3,2019-12-27,0038,Terra,MODIS,35,6.03,298.3,51.7,D,0
-37.5439,147.7067,350.2,1.7,1.3,2019-12-27,0038,Terra,MODIS,95,6.03,299,121,D,0
-37.6376,147.8711,321.9,1.8,1.3,2019-12-27,0038,Terra,MODIS,74,6.03,300,27.4,D,0
-37.611,147.9768,325.7,1.8,1.3,2019-12-27,0038,Terra,MODIS,79,6.03,298.6,36.7,D,0
-37.611,147.9711,325.4,4.7,2,2019-12-27,0315,Aqua,MODIS,79,6.03,296.1,171.9,D,0
-37.5926,147.9708,336.2,4.7,2,2019-12-27,0315,Aqua,MODIS,87,6.03,296.2,301,D,0
-37.5955,147.9626,338.2,4.7,2,2019-12-27,0315,Aqua,MODIS,89,6.03,296.4,324.4,D,0
-37.6138,147.963,319.2,4.7,2,2019-12-27,0315,Aqua,MODIS,70,6.03,296,111.7,D,0
-37.5406,147.962,331.5,4.7,2,2019-12-27,0315,Aqua,MODIS,84,6.03,296.5,233.7,D,0
-37.5446,147.9574,329.3,4.7,2,2019-12-27,0315,Aqua,MODIS,82,6.03,296.4,204,D,0
-37.5589,147.9612,317,4.7,2,2019-12-27,0315,Aqua,MODIS,25,6.03,295.6,80.4,D,0
-37.5564,147.9594,330.1,3.3,1.7,2019-12-27,0453,Aqua,MODIS,71,6.03,295.5,119.6,D,0
-37.5715,147.9652,320.9,3.3,1.7,2019-12-27,0453,Aqua,MODIS,27,6.03,294.8,63.9,D,0
-37.5817,147.9775,328,3.3,1.7,2019-12-27,0453,Aqua,MODIS,57,6.03,294.8,107.7,D,0
-37.5463,147.5554,334.6,3.1,1.7,2019-12-27,0453,Aqua,MODIS,75,6.03,294.7,150,D,0
-37.5374,147.5918,350.8,3.1,1.7,2019-12-27,0453,Aqua,MODIS,95,6.03,294.7,298.5,D,0
-37.5738,147.6908,330.2,3.2,1.7,2019-12-27,0453,Aqua,MODIS,41,6.03,296.1,112.7,D,0
-37.5402,147.585,349.5,3.1,1.7,2019-12-27,0453,Aqua,MODIS,95,6.03,295.5,278.7,D,0
-37.5496,147.6742,330.7,3.2,1.7,2019-12-27,0453,Aqua,MODIS,72,6.03,295.6,112.5,D,0
-37.5517,147.5992,363.3,3.1,1.7,2019-12-27,0453,Aqua,MODIS,100,6.03,297.2,468.2,D,0
-37.2424,148.3936,317.9,3.6,1.8,2019-12-27,0453,Aqua,MODIS,48,6.03,301.7,42.2,D,0
-37.5642,147.6808,331.1,3.2,1.7,2019-12-27,0453,Aqua,MODIS,77,6.03,296.1,119.2,D,0
-37.53,147.8673,319.9,3.2,1.7,2019-12-27,0453,Aqua,MODIS,48,6.03,294.5,56.3,D,0
