term,estimate,std.error,statistic,p.value,koppen,dn,estimate_year,sig
time,-0.0017306634469962004,8.119846415831915e-4,987,1.840762579009225e-31,Equatorial,day,-0.6321248240153622,*
time,9.309553117489301e-4,0.005312355182530295,13646,0.03607873577662212,Arid,day,0.34003142761629673,*
time,-2.505129349692131e-4,0.0015823623072470305,11123,0.5179668806200466,Temperate,day,-0.09149984949750509,
time,0.001984597199119228,0.005306619272025493,15576,2.731166783610876e-5,Boreal,day,0.724874126978298,*
time,-6.752100817331862e-4,7.069524127405926e-4,3309,6.033269491842192e-20,Equatorial,night,-0.24662048235304626,*
time,6.428866407896636e-4,0.0035274065091731237,13989,0.013547957201001253,Arid,night,0.23481434554842462,*
time,-3.0747992325018164e-4,0.002552252984015145,11283,0.6365754305875412,Temperate,night,-0.11230704196712885,
time,0.0016775259958144808,0.003955944899041315,16020,2.9022447170509794e-6,Boreal,night,0.6127163699712391,*
time,-7.70490787192494e-4,0.0012585772737935372,4779,7.459704480672575e-14,global,day,-0.28142176002205843,*
time,-6.913003523293758e-6,0.0015838805372188854,11949,0.6228629578798828,global,night,-0.002524974536883045,
